iter	Passed	Remaining
0	2	4057
1	4	4059
2	6	3995
3	9	4013
4	11	3918
5	13	3841
6	14	3786
7	17	3759
8	19	3781
9	21	3754
10	23	3770
11	25	3759
12	27	3744
13	29	3735
14	31	3735
15	33	3715
16	35	3709
17	37	3696
18	39	3687
19	42	3693
20	44	3683
21	46	3679
22	48	3669
23	50	3650
24	52	3650
25	54	3646
26	56	3644
27	58	3643
28	60	3637
29	62	3631
30	64	3634
31	66	3630
32	68	3633
33	71	3641
34	73	3655
35	75	3650
36	77	3649
37	79	3649
38	81	3651
39	84	3650
40	86	3648
41	88	3641
42	90	3637
43	92	3636
44	94	3634
45	96	3625
46	98	3631
47	100	3628
48	102	3621
49	104	3619
50	107	3620
51	109	3616
52	111	3613
53	113	3614
54	115	3613
55	117	3609
56	119	3608
57	121	3602
58	123	3601
59	125	3597
60	127	3594
61	129	3592
62	132	3590
63	134	3585
64	136	3582
65	138	3576
66	140	3573
67	142	3572
68	144	3567
69	146	3565
70	148	3563
71	150	3560
72	152	3558
73	154	3553
74	156	3550
75	158	3545
76	160	3546
77	162	3541
78	164	3535
79	166	3530
80	168	3526
81	170	3523
82	172	3524
83	174	3523
84	177	3522
85	179	3518
86	181	3518
87	183	3515
88	185	3511
89	187	3511
90	189	3508
91	191	3510
92	193	3508
93	196	3507
94	197	3501
95	199	3499
96	201	3495
97	203	3492
98	205	3487
99	207	3485
100	210	3483
101	212	3480
102	214	3477
103	216	3474
104	218	3473
105	220	3472
106	222	3472
107	225	3475
108	227	3474
109	229	3473
110	231	3470
111	233	3466
112	235	3461
113	237	3461
114	239	3460
115	241	3459
116	244	3460
117	245	3450
118	247	3450
119	249	3447
120	251	3445
121	254	3444
122	256	3441
123	258	3441
124	260	3440
125	262	3439
126	264	3437
127	266	3434
128	268	3433
129	270	3430
130	272	3427
131	274	3423
132	276	3419
133	278	3415
134	280	3411
135	282	3409
136	284	3408
137	286	3404
138	288	3402
139	290	3399
140	292	3397
141	295	3395
142	297	3391
143	298	3388
144	301	3387
145	303	3387
146	305	3385
147	307	3386
148	310	3385
149	312	3383
150	314	3380
151	316	3378
152	318	3376
153	320	3375
154	322	3371
155	324	3368
156	326	3366
157	328	3363
158	330	3360
159	332	3358
160	334	3356
161	336	3353
162	338	3350
163	340	3347
164	342	3346
165	344	3343
166	346	3340
167	349	3340
168	351	3337
169	352	3334
170	354	3331
171	356	3328
172	358	3324
173	360	3322
174	363	3321
175	365	3320
176	367	3318
177	369	3316
178	371	3313
179	373	3311
180	375	3309
181	377	3306
182	379	3303
183	381	3301
184	383	3299
185	385	3297
186	387	3294
187	390	3294
188	392	3292
189	393	3285
190	395	3284
191	397	3282
192	399	3280
193	402	3278
194	404	3276
195	406	3273
196	408	3271
197	410	3269
198	412	3266
199	414	3263
200	416	3260
201	418	3258
202	420	3255
203	422	3252
204	424	3250
205	426	3247
206	428	3245
207	430	3244
208	432	3242
209	434	3240
210	436	3237
211	438	3235
212	440	3233
213	442	3230
214	444	3227
215	446	3224
216	448	3222
217	450	3220
218	452	3218
219	454	3216
220	456	3213
221	458	3212
222	460	3209
223	463	3210
224	465	3209
225	467	3207
226	469	3205
227	472	3205
228	474	3203
229	476	3201
230	478	3199
231	480	3198
232	482	3197
233	484	3194
234	486	3193
235	489	3192
236	491	3192
237	493	3189
238	495	3187
239	498	3187
240	500	3185
241	502	3183
242	504	3182
243	507	3183
244	509	3181
245	511	3179
246	513	3177
247	515	3177
248	517	3176
249	519	3173
250	522	3173
251	524	3171
252	526	3171
253	528	3169
254	530	3166
255	532	3163
256	535	3162
257	537	3160
258	539	3158
259	541	3156
260	543	3153
261	545	3151
262	547	3149
263	549	3147
264	551	3145
265	553	3143
266	555	3140
267	557	3139
268	560	3137
269	562	3136
270	564	3135
271	566	3133
272	568	3130
273	570	3128
274	572	3126
275	574	3124
276	576	3122
277	579	3120
278	581	3117
279	583	3116
280	585	3113
281	587	3110
282	589	3108
283	591	3105
284	593	3103
285	595	3100
286	597	3099
287	599	3096
288	601	3095
289	603	3092
290	605	3089
291	607	3087
292	609	3084
293	611	3081
294	613	3078
295	615	3077
296	617	3074
297	619	3072
298	621	3069
299	623	3068
300	625	3065
301	627	3063
302	629	3061
303	631	3058
304	633	3054
305	635	3052
306	637	3051
307	639	3049
308	642	3048
309	644	3045
310	646	3043
311	648	3040
312	650	3038
313	652	3037
314	654	3034
315	656	3032
316	658	3029
317	660	3026
318	662	3023
319	664	3021
320	666	3019
321	668	3017
322	670	3015
323	672	3012
324	674	3010
325	676	3008
326	678	3006
327	680	3004
328	682	3002
329	684	2999
330	686	2998
331	688	2995
332	690	2992
333	692	2989
334	694	2986
335	696	2984
336	698	2981
337	700	2979
338	702	2977
339	704	2974
340	706	2971
341	708	2969
342	710	2967
343	712	2965
344	714	2962
345	716	2959
346	718	2957
347	720	2956
348	722	2954
349	724	2951
350	726	2949
351	728	2947
352	730	2944
353	732	2942
354	734	2939
355	736	2937
356	738	2934
357	740	2932
358	742	2929
359	744	2927
360	746	2925
361	748	2923
362	750	2920
363	752	2918
364	754	2917
365	756	2914
366	758	2912
367	760	2911
368	763	2909
369	765	2907
370	766	2904
371	769	2902
372	771	2901
373	773	2898
374	775	2897
375	777	2895
376	779	2893
377	781	2891
378	783	2889
379	785	2887
380	788	2885
381	790	2883
382	792	2881
383	794	2879
384	796	2877
385	798	2875
386	800	2873
387	802	2870
388	804	2868
389	806	2866
390	808	2864
391	810	2862
392	812	2859
393	814	2858
394	817	2856
395	819	2855
396	821	2853
397	823	2851
398	825	2849
399	828	2848
400	830	2846
401	832	2844
402	834	2842
403	836	2841
404	838	2839
405	841	2838
406	843	2836
407	845	2835
408	847	2833
409	849	2831
410	852	2829
411	854	2827
412	856	2826
413	858	2823
414	860	2821
415	862	2819
