feature,importance
neighborhood_price_std,14.915914519125337
neighborhood_price_median,13.754119797247016
neighborhood_price_mean,11.995861067938801
is_luxury,7.705502491469001
grade,7.248953164885962
total_sqft,7.212985423614502
sqft_living,7.1199957944742565
sqft_above,5.572861025478225
sqft_basement,3.965457000985923
bathrooms,3.5487629932492752
space_efficiency,3.4618259177343433
house_age,3.3666976373842386
years_since_reno,2.935395472314711
bath_bed_ratio,2.3675196591047634
condition,1.199745195568893
has_been_renovated,1.0920388937138756
floors,1.0323569332526457
bedrooms,0.9103554734226458
has_basement,0.5936515390355788
