feature,importance
neighborhood_price_mean,15.96308134497779
neighborhood_price_std,13.684782279048925
neighborhood_price_median,11.197270050207534
grade,10.353446843405232
total_sqft,7.089872937409454
sqft_living,6.256552600604896
sqft_above,5.869153827356081
house_age,4.728361672378116
is_luxury,4.681789862120487
sqft_basement,3.9983710173437466
space_efficiency,3.6493594613231832
bathrooms,3.2910534476510516
years_since_reno,2.8620226293927207
bath_bed_ratio,2.1691523398496155
has_been_renovated,1.2478483093650992
condition,0.9717214266487476
floors,0.8791178329968966
bedrooms,0.7586066378836317
has_basement,0.3484354800367843
